Symbol,5 Day,20 Day,50 Day,100 Day,200 Day,Ratio,Group
GH,7.32,13.74,30.29,128.59,57.99,0.0081,Leaders
MOS,2.52,13.65,15.53,5.02,-13.11,0.0048,Leaders
MNST,1.25,13.63,14.62,9.05,1.81,0.01,Leaders
SMTC,0.68,13.61,-37.78,-10.58,-1.08,0.007,Leaders
FMC,-3.81,13.56,-14.47,-31.15,-32.98,0.0072,Leaders
PRGO,-3.5,13.51,13.28,11.26,-5.88,0.0048,Leaders
MRCY,-1.31,13.51,9.01,40.11,44.61,0.0081,Leaders
QFIN,-7.32,13.49,21.05,28.35,128.11,0.0077,Leaders
SMMT,1.15,13.42,12.48,-1.98,174.23,0.0036,Leaders
AQST,12.01,13.4,6.38,-40.1,1.17,0.0006,Leaders
AHR,0.83,13.33,10.03,19.45,102.36,0.0053,Leaders
F,1.7,13.23,11.22,-2.38,-18.43,0.0018,Leaders
SAGE,0.74,13.22,42.89,3.2,-32.13,0.0014,Leaders
WNS,-2.59,13.21,43.55,33.91,16.13,0.0109,Leaders
BBVA,-4.11,13.2,41.78,46.68,32.84,0.0025,Leaders
STAA,-0.72,13.16,-20.59,-40.83,-64.71,0.0031,Leaders
NTNX,3.8,13.16,22.67,22.42,29.87,0.013,Leaders
UGP,-2.59,13.15,16.52,-11.73,-37.0,0.0005,Leaders
FSLR,-4.79,-12.15,-30.05,-34.4,-60.6,0.0223,Laggards
VCYT,4.55,-12.15,-21.71,1.09,46.75,0.0057,Laggards
TSLA,15.34,-12.17,-26.96,4.12,50.29,0.0483,Laggards
GLOB,-6.24,-12.18,-36.7,-39.84,-24.25,0.0225,Laggards
FUN,-1.78,-12.31,-14.86,-3.52,-18.11,0.0067,Laggards
CMPS,-11.74,-12.34,-22.33,-49.78,-68.45,0.0005,Laggards
DATS,-13.47,-12.35,-30.16,34.86,72.51,0.0004,Laggards
HUT,6.09,-12.36,-38.09,-5.68,36.92,0.0024,Laggards
MOMO,-9.61,-12.38,-2.24,-3.95,14.73,0.0011,Laggards
AXL,-1.63,-12.42,-17.59,-23.3,-49.0,0.0008,Laggards
IBKR,1.55,-12.45,-3.07,23.28,35.95,0.0312,Laggards
PSNL,-0.58,-12.46,-28.88,-17.77,175.44,0.0007,Laggards
CRDO,5.84,-12.49,-28.25,29.67,95.74,0.0088,Laggards
NET,5.19,-12.66,9.66,40.32,73.2,0.0215,Laggards
GTLB,-1.28,-12.71,-12.9,-4.74,7.47,0.009,Laggards
AAON,-0.52,-12.77,-27.83,-24.0,7.53,0.0145,Laggards
IONQ,3.14,-12.78,-11.11,54.71,229.78,0.0045,Laggards
PTON,9.45,-12.83,-12.63,17.26,93.21,0.0013,Laggards
CRI,2.07,-12.94,-12.33,-21.86,-42.92,0.0074,Laggards
BAK,-10.65,-12.95,-1.42,-39.7,-57.22,0.0006,Laggards
PCT,7.35,-13.01,-13.9,-41.72,46.15,0.0014,Laggards
U,4.29,-13.07,1.59,15.96,17.63,0.0039,Laggards
CLF,-10.1,-13.08,-2.17,-28.22,-52.7,0.0016,Laggards
NCLH,1.61,-13.14,-17.63,-9.97,6.78,0.0036,Laggards
VLRS,0.36,-13.18,-26.56,-19.61,-25.79,0.001,Laggards
THS,-7.99,-13.19,-21.62,-29.19,-38.19,0.0045,Laggards
NVO,-7.64,-13.24,-9.49,-32.86,-54.96,0.0131,Laggards
JBLU,-1.63,-13.26,-23.82,-20.33,-5.15,0.001,Laggards
CRDF,-8.05,-13.28,-0.52,34.62,16.08,0.0007,Laggards
IOT,6.38,-13.28,-2.21,-11.07,16.8,0.0073,Laggards
WFRD,-4.44,-13.31,-22.5,-31.81,-60.06,0.0093,Laggards
CRGY,3.99,-13.33,-22.47,-4.57,-12.48,0.002,Laggards
DXCM,3.94,-13.4,-3.41,3.26,-44.46,0.0131,Laggards
XRAY,-0.28,-13.46,-13.63,-30.95,-50.8,0.0027,Laggards
CART,-0.96,-13.51,-6.18,-7.45,26.78,0.0071,Laggards
BB,-3.4,-13.56,12.18,86.47,54.84,0.0008,Laggards
PSTG,2.69,-13.6,-15.16,-1.47,-21.51,0.0092,Laggards
APP,9.08,-13.63,5.74,110.88,307.12,0.0589,Laggards
VTRS,-1.09,-13.72,-18.72,-16.23,-17.82,0.0016,Laggards
TEAM,4.54,-13.8,-1.49,25.01,39.55,0.0407,Laggards
SHAK,6.77,-13.81,-25.56,-12.86,-4.86,0.0166,Laggards
PACK,-4.95,-13.84,-7.64,1.04,-10.19,0.001,Laggards
HQY,-11.95,-13.86,-6.9,3.25,-0.7,0.0157,Laggards
TSSI,6.7,-13.87,-11.36,43.05,411.51,0.0018,Laggards
FRPT,-2.26,-13.89,-36.8,-32.88,-40.96,0.0154,Laggards
WGO,-3.86,-13.99,-24.77,-33.47,-49.55,0.0061,Laggards
PENN,-1.11,-14.05,-2.59,-12.16,-3.59,0.003,Laggards
VRRM,0.48,-14.08,-11.48,-18.46,-26.53,0.0037,Laggards
VERV,-10.17,-14.18,-1.28,-2.48,0.26,0.001,Laggards
ARWR,-2.27,-14.21,-18.97,-22.19,-47.71,0.0027,Laggards
LYV,2.56,-14.25,0.02,9.9,26.82,0.022,Laggards
UAL,6.89,-14.35,-20.11,8.17,44.27,0.0139,Laggards
SNCY,0.96,-14.41,-8.82,10.68,19.04,0.0024,Laggards
SABR,0.41,-14.58,4.58,-11.33,6.08,0.0006,Laggards
ARRY,-11.96,-14.63,-13.69,-14.36,-68.66,0.0009,Laggards
RUM,-2.86,-14.66,-28.7,41.72,23.84,0.0014,Laggards
ADEA,-1.7,-14.67,4.95,15.89,11.12,0.0024,Laggards
NVST,0.18,-14.67,-6.27,-6.77,-14.92,0.003,Laggards
DJT,0.56,-14.74,-36.63,-45.36,-62.81,0.0036,Laggards
XPRO,-1.25,-14.75,-19.29,-19.8,-55.66,0.0018,Laggards
KVYO,-1.36,-14.75,-14.87,-12.37,44.71,0.0059,Laggards
AAOI,4.57,-14.84,-28.62,28.45,112.69,0.0039,Laggards
FUBO,0.24,-14.85,-36.33,110.31,154.71,0.0006,Laggards
ACB,2.47,-14.93,5.94,-22.24,-31.41,0.0008,Laggards
ADNT,-2.27,-14.95,-15.43,-32.48,-59.37,0.0024,Laggards
TKC,-23.92,-15.04,-10.45,-5.21,-32.8,0.001,Laggards
SRE,-1.85,-15.07,-11.84,-14.7,-15.04,0.0122,Laggards
BBWI,5.58,-15.08,-9.32,8.65,-35.65,0.0056,Laggards
CMP,-19.24,-15.18,-15.27,-27.09,-38.27,0.0017,Laggards
REPL,-7.83,-15.2,-1.62,-5.1,108.95,0.0019,Laggards
GO,-2.63,-15.26,-18.9,-22.86,-48.18,0.0022,Laggards
HTZ,-10.38,-15.26,-10.8,12.39,-21.69,0.0006,Laggards
WHD,1.87,-15.31,-17.68,-17.79,-8.56,0.0082,Laggards
VERX,0.72,-15.39,-30.67,-15.28,-3.26,0.0061,Laggards
NTLA,-4.45,-15.51,-20.0,-40.93,-68.96,0.0016,Laggards
VTLE,5.73,-15.53,-29.91,-15.58,-57.32,0.004,Laggards
CTKB,-4.84,-15.55,-35.67,-9.32,-31.14,0.0007,Laggards
SMCI,-2.15,-15.56,30.48,-11.04,-54.93,0.0072,Laggards
THO,-2.34,-15.78,-12.17,-20.76,-23.07,0.0141,Laggards
FLNC,-3.66,-15.97,-66.44,-73.65,-85.28,0.0009,Laggards
CZR,-1.45,-16.12,-9.49,-35.63,-29.78,0.0049,Laggards
TER,-0.71,-16.28,-31.03,-17.69,-43.62,0.0158,Laggards
HPE,3.25,-16.33,-22.04,-13.4,-12.76,0.0029,Laggards
EBS,-2.67,-16.37,-40.67,-35.14,-5.94,0.001,Laggards
TTD,3.4,-16.42,-48.62,-49.63,-46.19,0.0103,Laggards
TFX,-0.36,-16.52,-17.73,-38.46,-42.81,0.0245,Laggards
FLWS,7.23,-16.66,-14.53,-23.0,-46.75,0.001,Laggards
DAL,2.61,-16.71,-17.68,-8.76,-10.09,0.0085,Laggards
CRNC,-5.89,-16.72,-34.32,239.05,203.66,0.0017,Laggards
DBRG,-3.09,-16.98,-10.76,-43.2,-37.57,0.0016,Laggards
PAYO,5.48,-17.14,-19.7,-5.64,25.77,0.0014,Laggards
NRIX,-5.86,-17.27,-29.08,-48.52,-25.36,0.0023,Laggards
ECVT,-5.96,-17.29,-11.2,4.76,-37.09,0.0011,Laggards
VTEX,-4.42,-17.3,-15.44,-25.81,-35.06,0.0008,Laggards
VSTS,-7.98,-17.31,-34.13,-25.18,-24.66,0.0018,Laggards
RVLV,3.47,-17.32,-21.39,-4.77,21.25,0.0041,Laggards
CADL,-3.55,-17.38,1.74,55.34,-1.29,0.0015,Laggards
AFRM,7.92,-17.4,-7.9,29.79,65.32,0.0091,Laggards
GPRE,-11.27,-17.46,-46.85,-55.26,-79.43,0.0009,Laggards
FWRD,5.53,-17.49,-29.66,-40.48,7.23,0.0038,Laggards
BRY,-2.27,-17.57,-24.52,-34.68,-52.9,0.0006,Laggards
UPST,8.56,-18.18,-4.34,9.71,115.97,0.0096,Laggards
CARS,4.59,-18.41,-24.56,-21.27,-48.31,0.0021,Laggards
BEAM,-3.71,-18.42,-7.86,12.11,-10.36,0.0042,Laggards
INOD,-1.22,-18.5,28.01,127.89,206.03,0.008,Laggards
GCI,0.98,-18.62,-36.29,-42.95,-31.22,0.0005,Laggards
KSS,9.95,-18.65,-26.74,-47.5,-62.96,0.0016,Laggards
ANF,-5.62,-18.73,-45.13,-43.24,-62.23,0.0138,Laggards
TDOC,-2.19,-18.96,-7.27,3.62,-27.86,0.0015,Laggards
AAL,2.88,-19.13,-30.24,-9.34,-6.13,0.0021,Laggards
NTAP,0.34,-19.38,-16.91,-19.28,-28.04,0.0165,Laggards
FA,2.85,-19.81,-17.27,-20.38,-25.02,0.0024,Laggards
ODP,-10.83,-19.99,-32.98,-53.2,-71.79,0.0025,Laggards
AMBC,3.2,-20.0,-20.66,-20.89,-57.35,0.0015,Laggards
LSPD,-7.57,-20.15,-32.56,-31.78,-40.41,0.0017,Laggards
ASAN,5.63,-20.31,-20.71,27.96,1.88,0.0026,Laggards
VIR,1.15,-20.37,-39.76,-3.05,-40.95,0.0012,Laggards
KTB,0.91,-20.4,-23.02,-13.63,-17.71,0.0113,Laggards
DLO,1.4,-20.52,-12.55,10.61,3.59,0.0017,Laggards
DAR,-0.75,-20.53,-8.71,-22.93,-30.72,0.0052,Laggards
IREN,3.0,-20.71,-24.29,-16.17,-22.5,0.0013,Laggards
RDDT,-2.12,-20.93,-24.82,54.26,120.25,0.0217,Laggards
RXRX,-2.36,-20.95,-3.93,5.48,-28.26,0.0012,Laggards
RUN,-10.09,-21.25,-38.11,-54.9,-63.43,0.0011,Laggards
SERV,-2.14,-21.27,-51.08,-19.32,180.59,0.0014,Laggards
MGNI,-0.79,-21.32,-16.77,7.19,-9.67,0.0023,Laggards
CIVI,2.37,-21.33,-21.77,-25.57,-51.1,0.0063,Laggards
PRTH,2.51,-21.51,-26.84,53.74,82.67,0.0014,Laggards
ALK,-3.46,-21.53,-15.78,19.58,20.65,0.0094,Laggards
VSCO,4.95,-21.67,-41.91,-23.97,-13.38,0.0037,Laggards
RC,-1.43,-21.77,-22.38,-23.77,-42.82,0.0009,Laggards
RH,12.8,-21.92,-34.3,-20.13,-13.3,0.0447,Laggards
BYON,-10.64,-21.97,-10.61,-18.45,-75.36,0.0009,Laggards
MRVL,1.72,-22.08,-35.88,-10.1,0.85,0.0126,Laggards
GOOS,-0.57,-22.21,-12.44,-14.96,-48.47,0.0015,Laggards
SHLS,0.52,-22.29,-42.12,-35.33,-62.82,0.0006,Laggards
SFIX,4.22,-22.32,-20.37,34.97,33.32,0.0007,Laggards
MDB,0.67,-22.46,-18.04,-25.82,-23.93,0.0342,Laggards
FIVN,0.49,-22.49,-18.18,5.17,-40.03,0.0054,Laggards
ULCC,-9.43,-22.66,-27.97,-18.65,-4.77,0.001,Laggards
DNA,-2.53,-22.78,-28.15,-4.94,-72.61,0.0013,Laggards
TNON,-14.31,-22.86,-44.59,-72.29,-91.51,0.0002,Laggards
FCEL,-20.91,-22.88,-54.61,-47.84,-91.29,0.0009,Laggards
BLMN,1.43,-22.92,-24.97,-44.63,-66.13,0.0015,Laggards
NABL,-3.58,-22.93,-17.52,-38.53,-53.22,0.0013,Laggards
DENN,-0.1,-22.96,-28.95,-38.63,-54.55,0.0007,Laggards
HIMS,6.21,-23.49,47.94,72.86,70.6,0.0065,Laggards
DOMH,10.41,-23.97,386.69,221.65,156.72,0.001,Laggards
MYGN,-3.01,-23.97,-29.93,-53.01,-64.33,0.0017,Laggards
ZETA,6.59,-24.0,-12.71,-40.78,-8.94,0.0027,Laggards
SRPT,-26.32,-24.09,-37.0,-41.1,-45.24,0.0132,Laggards
SPHR,-2.15,-24.15,-18.87,-25.97,-23.58,0.0056,Laggards
GDS,-21.49,-24.62,1.06,32.9,232.88,0.0049,Laggards
SHOO,4.85,-24.68,-30.37,-38.01,-45.44,0.0048,Laggards
DNLI,-6.03,-24.99,-28.0,-42.86,-37.59,0.0026,Laggards
ACHC,-3.29,-25.24,-33.31,-42.43,-67.72,0.005,Laggards
SEI,15.14,-25.34,-14.87,80.48,178.46,0.0041,Laggards
STKL,-5.55,-25.4,-27.33,-10.07,-24.46,0.0009,Laggards
AMRC,10.05,-25.85,-49.82,-56.99,-71.78,0.0022,Laggards
XRX,-6.66,-25.87,-36.02,-42.64,-66.44,0.001,Laggards
RDW,3.38,-26.18,-26.33,34.92,114.88,0.002,Laggards
CAR,0.84,-26.23,-26.85,-25.65,-53.45,0.0105,Laggards
ABSI,-5.06,-27.12,-1.18,-23.13,-37.74,0.0005,Laggards
FTDR,1.78,-28.08,-28.36,-20.93,-2.01,0.0068,Laggards
DAWN,-5.78,-28.17,-29.34,-42.38,-43.93,0.0014,Laggards
VFC,1.78,-28.75,-18.16,3.22,23.29,0.0029,Laggards
VNET,-22.63,-28.75,58.62,167.46,301.5,0.0016,Laggards
AIFF,-10.62,-28.78,104.24,32.92,-41.77,0.0008,Laggards
SEMR,3.62,-30.55,-8.84,-17.18,-39.7,0.0018,Laggards
EWCZ,-0.68,-30.86,-31.0,-36.84,-72.74,0.0007,Laggards
IOVA,-4.57,-30.99,-46.83,-65.28,-64.19,0.0006,Laggards
PLTK,-6.46,-31.68,-32.08,-40.18,-56.1,0.0008,Laggards
LPRO,-17.23,-31.82,-37.01,-37.62,-59.82,0.0006,Laggards
CIFR,0.94,-31.94,-34.09,-40.69,-25.88,0.0006,Laggards
DV,-3.35,-32.37,-25.86,-16.94,-27.76,0.0025,Laggards
TNDM,2.99,-33.26,-42.45,-33.53,-68.72,0.0036,Laggards
FTRE,-7.44,-34.51,-46.39,-45.06,-71.22,0.0016,Laggards
BKSY,-2.48,-34.65,-5.84,46.38,-3.55,0.0016,Laggards
DNUT,1.7,-35.17,-37.23,-50.58,-53.9,0.001,Laggards
BBAI,-0.2,-36.8,9.17,123.34,130.19,0.0006,Laggards
FLYW,-5.36,-38.35,-43.71,-41.22,-48.83,0.0017,Laggards
XPOF,-12.18,-38.87,-41.46,-33.38,-20.42,0.0014,Laggards
ARKO,3.14,-40.76,-32.43,-37.7,-40.62,0.0007,Laggards
FNKO,-0.1,-40.8,-47.11,-37.44,-31.59,0.0013,Laggards
LUNR,14.93,-42.06,-48.39,16.09,79.16,0.0016,Laggards
ARVN,-2.66,-44.99,-54.01,-66.08,-79.43,0.0015,Laggards
SNBR,-3.9,-49.84,-51.67,-48.19,-65.16,0.0012,Laggards
IRBT,-10.38,-51.72,-65.48,-57.25,-73.2,0.0006,Laggards
LEADERS_AVG,,36.04208556149733,,,,,Summary
LAGGARDS_AVG,,-19.75627659574468,,,,,Summary
